Column1;Column2;Column3;Column4;Column5;;;
Fecha y Hora;45992,58167;;;;;;
X;Y;Z;Gauss;mT;;;X
-150.0;-225.0;-425.0;-494.27;;;;
-187.5;-225.0;-425.0;-504.72;;;;
-225.0;-225.0;-425.0;-517.8;;;;
-262.5;-225.0;-425.0;-534.84;;;;
-262.5;-187.5;-425.0;-512.9;;;;
-225.0;-187.5;-425.0;-499.07;;;;
-187.5;-187.5;-425.0;-488.19;;;;
-150.0;-187.5;-425.0;-479.57;;;;
-112.5;-187.5;-425.0;-472.65;;;;
-75.0;-187.5;-425.0;-467.62;;;;
-37.5;-187.5;-425.0;-464.22;;;;
0.0;-187.5;-425.0;-462.42;;;;
37.5;-187.5;-425.0;-462.29;;;;
75.0;-187.5;-425.0;-463.63;;;;
112.5;-187.5;-425.0;-466.48;;;;
150.0;-187.5;-425.0;-470.72;;;;
187.5;-187.5;-425.0;-476.45;;;;
225.0;-187.5;-425.0;-483.81;;;;
262.5;-187.5;-425.0;-492.83;;;;
262.5;-150.0;-425.0;-480.97;;;;
225.0;-150.0;-425.0;-473.22;;;;
187.5;-150.0;-425.0;-466.65;;;;
150.0;-150.0;-425.0;-461.6;;;;
112.5;-150.0;-425.0;-457.84;;;;
75.0;-150.0;-425.0;-455.37;;;;
37.5;-150.0;-425.0;-454.19;;;;
0.0;-150.0;-425.0;-454.35;;;;
-37.5;-150.0;-425.0;-455.84;;;;
-75.0;-150.0;-425.0;-458.71;;;;
-112.5;-150.0;-425.0;-463.07;;;;
-150.0;-150.0;-425.0;-468.92;;;;
-187.5;-150.0;-425.0;-476.41;;;;
-225.0;-150.0;-425.0;-485.63;;;;
-262.5;-150.0;-425.0;-497.47;;;;
-262.5;-112.5;-425.0;-487.3;;;;
-225.0;-112.5;-425.0;-477.1;;;;
-187.5;-112.5;-425.0;-468.67;;;;
-150.0;-112.5;-425.0;-462.07;;;;
-112.5;-112.5;-425.0;-456.76;;;;
-75.0;-112.5;-425.0;-452.8;;;;
-37.5;-112.5;-425.0;-450.15;;;;
0.0;-112.5;-425.0;-448.77;;;;
37.5;-112.5;-425.0;-448.72;;;;
75.0;-112.5;-425.0;-449.73;;;;
112.5;-112.5;-425.0;-451.96;;;;
150.0;-112.5;-425.0;-455.27;;;;
187.5;-112.5;-425.0;-459.82;;;;
225.0;-112.5;-425.0;-465.64;;;;
262.5;-112.5;-425.0;-472.8;;;;
262.5;-75.0;-425.0;-467.54;;;;
225.0;-75.0;-425.0;-461.1;;;;
187.5;-75.0;-425.0;-455.68;;;;
150.0;-75.0;-425.0;-451.38;;;;
112.5;-75.0;-425.0;-448.23;;;;
75.0;-75.0;-425.0;-446.25;;;;
37.5;-75.0;-425.0;-445.26;;;;
0.0;-75.0;-425.0;-445.47;;;;
-37.5;-75.0;-425.0;-446.73;;;;
-75.0;-75.0;-425.0;-449.15;;;;
-112.5;-75.0;-425.0;-452.85;;;;
-150.0;-75.0;-425.0;-457.77;;;;
-187.5;-75.0;-425.0;-463.94;;;;
-225.0;-75.0;-425.0;-471.54;;;;
-262.5;-75.0;-425.0;-480.72;;;;
-262.5;-37.5;-425.0;-478.34;;;;
-225.0;-37.5;-425.0;-469.59;;;;
-187.5;-37.5;-425.0;-462.25;;;;
-150.0;-37.5;-425.0;-456.29;;;;
-112.5;-37.5;-425.0;-451.41;;;;
-75.0;-37.5;-425.0;-447.79;;;;
-37.5;-37.5;-425.0;-445.44;;;;
0.0;-37.5;-425.0;-444.11;;;;
37.5;-37.5;-425.0;-443.99;;;;
75.0;-37.5;-425.0;-444.86;;;;
112.5;-37.5;-425.0;-446.77;;;;
150.0;-37.5;-425.0;-449.76;;;;
187.5;-37.5;-425.0;-453.77;;;;
225.0;-37.5;-425.0;-458.91;;;;
262.5;-37.5;-425.0;-465.04;;;;
262.5;0.0;-425.0;-465.14;;;;
225.0;0.0;-425.0;-459.28;;;;
187.5;0.0;-425.0;-454.19;;;;
150.0;0.0;-425.0;-450.27;;;;
112.5;0.0;-425.0;-447.33;;;;
75.0;0.0;-425.0;-445.48;;;;
37.5;0.0;-425.0;-444.65;;;;
0.0;0.0;-425.0;-444.84;;;;
-37.5;0.0;-425.0;-446.25;;;;
-75.0;0.0;-425.0;-448.61;;;;
-112.5;0.0;-425.0;-452.15;;;;
-150.0;0.0;-425.0;-457.13;;;;
-187.5;0.0;-425.0;-463.09;;;;
-225.0;0.0;-425.0;-470.41;;;;
-262.5;0.0;-425.0;-479.44;;;;
-262.5;37.5;-425.0;-483.81;;;;
-225.0;37.5;-425.0;-474.47;;;;
-187.5;37.5;-425.0;-466.78;;;;
-150.0;37.5;-425.0;-460.38;;;;
-112.5;37.5;-425.0;-455.4;;;;
-75.0;37.5;-425.0;-451.52;;;;
-37.5;37.5;-425.0;-448.94;;;;
0.0;37.5;-425.0;-447.56;;;;
37.5;37.5;-425.0;-447.23;;;;
75.0;37.5;-425.0;-447.93;;;;
112.5;37.5;-425.0;-449.78;;;;
150.0;37.5;-425.0;-452.65;;;;
187.5;37.5;-425.0;-456.7;;;;
225.0;37.5;-425.0;-461.57;;;;
262.5;37.5;-425.0;-467.56;;;;
262.5;75.0;-425.0;-472.4;;;;
225.0;75.0;-425.0;-466.56;;;;
187.5;75.0;-425.0;-461.48;;;;
150.0;75.0;-425.0;-457.27;;;;
112.5;75.0;-425.0;-454.31;;;;
75.0;75.0;-425.0;-452.55;;;;
37.5;75.0;-425.0;-451.74;;;;
